"Source:","C:\Users\twalter\Local\Inverter\KiCAD_files\inverter.kicad_sch"
"Date:","20/06/2023 16:14:47"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","354"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","DNP","Package","Power","Sim.Device","Sim.Pins","Voltage","manf","manf#"
"26","1","D403","PMEG2010AEJ,115","Diode:1N4148WS","Diode_SMD:D_SOD-323_HandSoldering","https://www.vishay.com/docs/85751/1n4148ws.pdf","","x","","","D","1=K 2=A","","","PMEG2010AEJ,115"
"27","1","D501","6.2V","Device:D_Zener","Diode_SMD:D_SOD-323_HandSoldering","https://www.mouser.fr/datasheet/2/308/1/MM3Z2V4T1_D-2316321.pdf","","","","","","","","","BZT52C6V2-TP"
"28","4","D502, D503, D505, D506","BAS20HT1G",":D_2","Diode_SMD:D_SOD-323_HandSoldering","~","","","","","D","1=K 2=A","","","BAS20HT1G"
"29","1","D504","SURA8140T3G",":D_3","Diode_SMD:D_SMA","~","","","","","D","1=K 2=A","","","SURA8140T3G"
"30","1","D507","STTH4R02U","Device:D_Schottky","Diode_SMD:D_SMB","~","","","","","","","","","STTH4R02U"
"31","6","D601, D602, D701, D702, D801, D802","PMEG2010AEJ,115","Device:D","Diode_SMD:D_SOD-323_HandSoldering","~","","x","","","D","1=K 2=A","","","PMEG2010AEJ,115"
"32","3","D604, D704, D804","RB168MM150TR","Device:D_Schottky","Diode_SMD:D_SOD-123","~","","x","","","","","","","RB168MM150TR"
"33","3","D605, D705, D805","PU3DBH","Device:D_Schottky","Diode_SMD:D_SMB","~","","x","","","","","","","PU3DBH"
"34","1","F201","30A","Device:Fuse","Footprints:F_0678H_Bel","https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0678h-series.pdf","","","","","","","","","0678H9300-02"
"35","2","F401, F402","350mA","Device:Polyfuse_Small","Fuse:Fuse_1210_3225Metric","~","","x","","","","","","","0ZCK0035FF2G"
"36","3","F601, F701, F801","25A","Device:Fuse","Footprints:F_0678H_Bel","https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0678h-series.pdf","","","","","","","","","0678H9250-02"
"37","1","J101","Harting-15 and Wago 6","Symbols:Harting 15 contacts and WAGO","Footprints:Harting - 15contacts and Wago","~","","","","","","","","","2604-1108"
"38","1","J301","Conn_01x04","Connector_Generic:Conn_01x04","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","~","","","","","","","","","10129378-904001BLF"
"39","2","J401, J402","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~","","x","","","","","","","B2B-EH-A(LF)(SN)"
"40","2","J403, J404","RJ45_LED_Shielded","Connector:RJ45_LED_Shielded","Footprints:ethernet_RJE721881411","~","","x","","","","","","","RJE721881411"
"41","1","J501","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","10129378-903001BLF"
"42","1","J901","Conn_01x05","Connector_Generic:Conn_01x05","Connector_JST:JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical","~","","","","","","","","","10129378-905001BLF"
"43","2","JP401, JP403","Jumper","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","x","","","","","","","68691-100HLF"
"44","1","L501","10uH","Device:L","Inductor_SMD:L_1210_3225Metric","~","","","","","","","","","CBC3225T100M"
"45","1","L502","100uH","Device:L_Small","Inductor_SMD:L_0805_2012Metric","~","","","","","","","","","LBR2012T101K"
"46","1","L503","22uH","Device:L","Inductor_SMD:L_1210_3225Metric","~","","","","","","","","","CBC3225T220KR"
"47","1","NTC501","100kNTC","Device:Thermistor_NTC","Footprints:R_0805_2012Metric","https://www.mouser.fr/datasheet/2/3/ABNTC-0805-253593.pdf","","","","","","","","","ABNTC-0805-104J-4250F-T"
"48","1","PS501","TBA 1-0512","Converter_DCDC:MEE1S0512SC","Footprints:Converter_DCDC_Murata_MEE1SxxxxSC_THT","https://power.murata.com/pub/data/power/ncl/kdc_mee1.pdf","","x","","","","","","","TBA 1-0512"
"49","1","Q501","60V N channel","Device:Q_NMOS_GSD","Footprints:SOT-23_copy","~","","","","","","","","","NX7002AKVL"
"50","1","Q502","TK13P25D,RQ","Device:Q_NMOS_GDS","Package_TO_SOT_SMD:TO-252-2","https://www.mouser.fr/datasheet/2/408/TK13P25D_datasheet_en_20140106-1649876.pdf","","","","","","","","","TK13P25D,RQ"
"51","6","Q601, Q602, Q701, Q702, Q801, Q802","IPD200N15N3","Transistor_FET:QM6006D","Package_TO_SOT_SMD:TO-252-2","https://www.infineon.com/dgdl/Infineon-IPD200N15N3%20G-DS-v02_07-EN.pdf?fileId=5546d4624fb7fef2014ff59238932dbf","","x","","","","","","","IPD200N15N3GATMA1"
"52","1","R201","330k",":R_Small_5","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-3303ELF"
"53","1","R202","5.6k",":R_Small_6","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-5601ELF"
"54","1","R203","27k",":R_Small_11","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-2702ELF"
"55","1","R204","27k",":R_Small_14","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-2702ELF"
"56","1","R205","12k",":R_Small_13","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-1202ELF"
"57","7","R206, R613, R615, R713, R715, R813, R815","12k","Device:R_Small","Footprints:R_0805_2012Metric","~","","x","0805","0.125W","","","","","CR0805-FX-1202ELF"
"58","1","R209","5.9k",":R_Small_10","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-5901ELF"
"59","1","R210","20k",":R_Small_9","Footprints:R_0805_2012Metric","~","","","0805","0.125W","","","","","CR0805-FX-2002ELF"
"60","1","R211","20k",":R_Small_2","Footprints:R_0805_2012Metric","~","","","0805","0.125W","","","","","CR0805-FX-2002ELF"
"61","1","R212","5.9k",":R_Small_8","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-5901ELF"
"62","3","R401, R410, R470","120R","Device:R","Footprints:R_0805_2012Metric","~","","x","0805","","","","","","CR0805-FX-1200ELF"
"63","2","R402, R404","330R","Device:R_Small","Footprints:R_0805_2012Metric","~","","x","0805","","","","","","CR0805-FX-3300ELF"
"64","2","R403, R405","3k","Device:R_Small","Footprints:R_0805_2012Metric","~","","x","0805","","","","","","CR0805-FX-3001ELF"
"65","7","R406, R407, R450, R494, R609, R709, R809","20k","Device:R","Footprints:R_0805_2012Metric","~","","x","0805","0.125W","","","150V","","CR0805-FX-2002ELF"
"66","11","R409, R411, R412, R413, R414, R415, R416, R417, R418, R419, R428","4.7k","Device:R","Footprints:R_0805_2012Metric","~","","x","0805","","","","","","CR0805-FX-4701ELF"
"67","8","R425, R426, R490, R491, R492, R495, R508, R515","10k","Device:R","Footprints:R_0805_2012Metric","~","","x","0805","0.125W","","","","","CRT0805-FZ-1002ELF"
"68","2","R501, R509","348k","Device:R","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-3483ELF"
"69","2","R502, R518","27k","Device:R","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-2702ELF"
"70","1","R503","100k","Device:R","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-1003ELF"
"71","3","R504, R512, R514","1.4k","Device:R","Footprints:R_0805_2012Metric","~","","","0805","","","","","","RC0805FR-071K4L"
"72","16","R505, R601, R602, R603, R604, R614, R701, R702, R703, R704, R714, R801, R802, R803, R804, R814","2.2R","Device:R","Footprints:R_0805_2012Metric","~","","x","0805","0.125W","","","","","CR0805AF/-2R20EAS"
"73","1","R506","470R","Device:R","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CR0805-FX-4700ELF"
"74","3","R507, R511, R516","10R","Device:R","Footprints:R_0805_2012Metric","~","","","0805","","","","","","CRCW080510R0JNEAC"
"75","1","R510","240m","Device:R","Resistor_SMD:R_1210_3225Metric","https://www.vishay.com/docs/20019/rcwe.pdf","","","","","","","","","RCWE1210R240FKEA "
"76","1","R513","10R","Device:R","Resistor_SMD:R_2010_5025Metric","~","","x","2010 ","1W","","","","","CRGH2010J10R"
"77","1","R517","38.3k","Device:R","Footprints:R_0805_2012Metric","~","","","","","","","","","CRCW080538K3FKEA"
"78","1","R519","1R",":R_Small_4","Footprints:R_0805_2012Metric","~","","","","","","","","","CR0805-J/-1R0ELF"
"79","1","R520","47k","Device:R","Footprints:R_0805_2012Metric","~","","x","0805","","","","","","CR0805-FX-4702ELF"
"80","1","R521","12k","Device:R","Footprints:R_0805_2012Metric","~","","x","0805","","","","","","CR0805-FX-1202ELF"
"81","9","R605, R606, R610, R705, R706, R710, R805, R806, R810","51R","Device:R","Footprints:R_0805_2012Metric","~","","x","0805","","","","150V","","CR0805-FX-51R0ELF "
"82","6","R607, R608, R707, R708, R807, R808","1k","Device:R","Footprints:R_0805_2012Metric","~","","x","0805","0.125W","","","","","RC0805FR-071KL"
"83","6","R611, R612, R711, R712, R811, R812","27k","Device:R_Small","Footprints:R_0805_2012Metric","~","","x","0805","0.125W","","","","","RC0805FR-0727KL"
"84","3","R616, R716, R816","150k","Device:R_Small","Footprints:R_0805_2012Metric","~","","x","0805","","","","","","CR0805-FX-1503ELF"
"85","3","R617, R717, R817","470R","Device:R_Small","Footprints:R_0805_2012Metric","~","","x","0805","","","","","","CR0805-FX-4700ELF"
"86","6","R618, R621, R718, R721, R818, R821","5.9k","Device:R_Small","Footprints:R_0805_2012Metric","~","","x","0805","0.1W","","","","","ERJ6RED2003V"
"87","6","R619, R620, R719, R720, R819, R820","20k","Device:R_Small","Footprints:R_0805_2012Metric","~","","x","0805","0.125W","","","","","CR0805-FX-2002ELF"
"88","6","R622, R623, R722, R723, R822, R823","1M",":R_Small_4","Footprints:R_0805_2012Metric","~","","","0805","0.5W","","","","","CMP0805-FX-1004ELF"
"89","6","R901, R902, R903, R904, R905, R906","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","DNP","0603","","","","","","CRT0603-FZ-1002ELF"
"90","1","T501","PA2467NL","Symbols:PA2467NL","Footprints:PA2467NL","https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/pa2467nlt","","","","","","","","","PA2467NL"
"91","3","TH401, TH402, TH403","NXFT15XH103FA2B100 ","Device:Thermistor","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Horizontal","~","","x","","","","","","","NXFT15XH103FA2B100 "
"92","1","U201","AMC1311DWV","Symbols:AMC1311DBW","Package_SO:SOIC-8_7.5x5.85mm_P1.27mm","https://www.ti.com/lit/ds/symlink/amc1311.pdf?ts=1597049043074&ref_url=https%253A%252F%252Fwww.google.com%252F","","","","","","","","","AMC1311DWV"
"93","1","U202","+-20A Hall",":ACS712ELCTR-20A-T_1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en","","","","","","","","","ACS712ELCTR-20A-T"
"94","9","U203, U490, U506, U604, U606, U704, U706, U804, U806","OPA316","Amplifier_Operational:TLV6001DCK","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/ds/symlink/tlv6001.pdf","","x","","","","","","","OPA316IDCKT"
"95","1","U204","OPA316",":TLV6001DCK_1","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/ds/symlink/tlv6001.pdf","","","","","","","","","OPA316IDCKT"
"96","1","U401","OwnTech_SPIN","Symbols:OwnTech_SPIN","Footprints:OwnTech_SPINTHT_1","","","","","","","","","","OWN_SPIN_1.0"
"97","1","U402","TCAN334GDR","Interface_CAN_LIN:TCAN334","Footprints:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tcan337.pdf","","x","","","","","","","TCAN334GDR"
"98","1","U405","LTC2850xS8","Interface_UART:LTC2850xS8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/285012fe.pdf","","x","","","","","","","LTC2850CS8#PBF"
"99","1","U406","OPA2277","Amplifier_Operational:OPA2277","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/opa2277.pdf","","x","","","","","","","MCP6487T-E/SN"
"100","1","U410","TS5A3357DCUT","Symbols:TS5A3357","Package_SO:VSSOP-8_2.3x2mm_P0.5mm","https://www.ti.com/lit/ds/symlink/ts5a3357.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1683795524380&ref_url=https%253A%252F%252Fwww.mouser.fr%252F","","","","","","","","","TS5A3357DCUT"
"101","1","U501","NCP12700","Symbols:NCP12700","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.onsemi.com/pdf/datasheet/ncp12700-d.pdf","","","","","","","","","NCP12700ADNR2G "
"102","1","U502","FODM217A","Isolator:SFH617A-1X007T","Package_SO:SO-4_4.4x2.3mm_P1.27mm","https://www.onsemi.com/download/data-sheet/pdf/fodm214-d.pdf","","","","","","","","","FODM217A"
"103","1","U503","TL431MFDT,215","Reference_Voltage:TL431DBZ","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/tl431.pdf","","","","","","","","","TL431MFDT,215"
"104","1","U504","AZ1117CH-5.0TRG1","Regulator_Linear:AP1117-50","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.mouser.fr/datasheet/2/115/DIOD_S_A0007713706_1-2542909.pdf","","x","","","","","","","AZ1117CH-5.0TRG1"
"105","1","U505","MCP1799T-5002H/TT","Regulator_Linear:MCP1754S-5002xCB","Footprints:SOT-23_copy","http://ww1.microchip.com/downloads/en/DeviceDoc/20002276C.pdf","","x","","","","","","","MCP1799T-5002H/TT"
"106","3","U601, U701, U801","AMC1100DUB","Symbols:AMC1100DUB","Footprints:SOP-8_6.62x9.15mm_P2.54mm","https://www.ti.com/lit/ds/symlink/amc1100.pdf?ts=1597048467257&ref_url=https%253A%252F%252Fwww.google.com%252F","","","","","","","","","AMC1100DUB"
"107","3","U602, U702, U802","FODM217A","Isolator:SFH617A-2X009T","Package_SO:SO-4_4.4x2.3mm_P1.27mm","http://www.vishay.com/docs/83740/sfh617a.pdf","","x","","","","","","","FODM217A"
"108","3","U603, U703, U803","UCC21222DR","Symbols:UCC21222DR","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/ucc21222.pdf?ts=1684210153758","","x","","","","","","UCC21222DR","UCC21222DR"
"109","3","U605, U705, U805","ACS730KLCTR-20AB","Symbols:ACS730KLCTR-20AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS730-Datasheet.ashx?la=en","","","","","","","","","ACS730KLCTR-20AB"
"110","1","U901","Si8640BB-B-IS1","Symbols:Si8640BB-B-IS1","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf","","","","","","","","","Si8640BB-B-IS1"
